epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,245.759,1.06371,1.02681,0.99574,1,0.83428,0.87745,0.65934,0.98374,1.1732,0.97443,0.0011684,0.0011684,0.0011684
44,251.147,0.99217,0.98231,0.94072,0.93167,0.85,0.87184,0.65691,1.02994,1.16613,0.99272,0.0011486,0.0011486,0.0011486
45,256.589,0.98863,0.91038,0.92699,0.97775,0.85,0.8733,0.68072,1.03722,1.16793,1.00048,0.0011288,0.0011288,0.0011288
46,262.047,0.91622,0.89712,0.91737,0.9996,0.85,0.87164,0.68295,1.0099,1.15979,0.9794,0.001109,0.001109,0.001109
47,267.564,0.95794,0.88053,0.96677,0.99199,0.8,0.85651,0.64918,1.05482,1.17667,0.9928,0.0010892,0.0010892,0.0010892
48,272.993,0.98272,0.94318,0.94842,1,0.84544,0.87227,0.63601,1.07652,1.15785,0.99267,0.0010694,0.0010694,0.0010694
49,278.489,0.85763,0.83969,0.91305,0.99578,0.85,0.89227,0.67307,1.0319,1.01264,0.98941,0.0010496,0.0010496,0.0010496
50,283.929,0.84549,0.8577,0.89709,0.99051,0.85,0.90676,0.67723,1.03341,0.98289,0.9934,0.0010298,0.0010298,0.0010298
51,289.36,0.7835,0.8487,0.89622,0.99063,0.85,0.91315,0.69495,1.03294,1.00027,0.98403,0.00101,0.00101,0.00101
52,294.751,0.92295,0.85489,0.94603,0.99729,0.85,0.9147,0.70618,1.00043,0.99638,0.96978,0.0009902,0.0009902,0.0009902
53,300.225,0.92786,0.86147,0.9223,0.9911,0.85,0.9147,0.70109,0.98646,0.96086,0.97731,0.0009704,0.0009704,0.0009704
54,305.749,0.88868,0.81655,0.91675,0.98843,0.85,0.91069,0.6962,1.00303,0.99635,0.98272,0.0009506,0.0009506,0.0009506
55,311.138,0.853,0.77884,0.91941,0.99035,0.85,0.89951,0.68863,1.01079,1.02351,0.98322,0.0009308,0.0009308,0.0009308
56,316.542,0.88405,0.79586,0.95391,1,0.84932,0.86593,0.68296,0.99394,1.02381,0.97718,0.000911,0.000911,0.000911
57,321.959,0.83302,0.76216,0.93694,1,0.84654,0.86052,0.65227,1.02877,1.00843,0.99072,0.0008912,0.0008912,0.0008912
58,327.372,0.82952,0.74594,0.91317,1,0.84376,0.86588,0.64843,1.02552,0.961,0.99081,0.0008714,0.0008714,0.0008714
59,332.899,0.84551,0.75868,0.92427,1,0.84402,0.87398,0.65392,1.0211,0.93848,0.98515,0.0008516,0.0008516,0.0008516
60,338.25,0.81486,0.72658,0.90288,1,0.84897,0.9057,0.65465,0.99953,0.92205,0.97388,0.0008318,0.0008318,0.0008318
61,343.806,0.80108,0.74266,0.93033,1,0.84727,0.9082,0.66605,0.97859,0.95444,0.95834,0.000812,0.000812,0.000812
62,349.322,0.80373,0.72625,0.92422,1,0.84618,0.8676,0.64227,0.97802,0.96315,0.95869,0.0007922,0.0007922,0.0007922
63,354.767,0.78299,0.72491,0.9048,1,0.84625,0.85511,0.62274,1.002,0.98431,0.97054,0.0007724,0.0007724,0.0007724
64,360.222,0.83652,0.73621,0.88272,1,0.84652,0.85975,0.64637,1.01602,0.96157,0.9889,0.0007526,0.0007526,0.0007526
65,365.646,0.82909,0.70146,0.88761,0.99579,0.85,0.8768,0.66352,0.99952,0.92374,0.98362,0.0007328,0.0007328,0.0007328
66,371.034,0.81143,0.69988,0.92283,0.99311,0.85,0.86868,0.67623,1.00352,0.9196,0.97311,0.000713,0.000713,0.000713
67,376.509,0.79852,0.7149,0.90323,0.99133,0.85,0.86593,0.6847,1.00715,0.892,0.97018,0.0006932,0.0006932,0.0006932
68,381.971,0.82355,0.74974,0.93614,0.99249,0.85,0.86198,0.66687,1.00409,0.90723,0.96985,0.0006734,0.0006734,0.0006734
69,387.442,0.76086,0.72964,0.87187,0.99481,0.85,0.85598,0.63697,1.00643,0.97411,0.96189,0.0006536,0.0006536,0.0006536
70,392.823,0.82121,0.74622,0.90312,0.99408,0.85,0.85409,0.63239,1.00135,0.98678,0.96782,0.0006338,0.0006338,0.0006338
71,398.448,0.79328,0.66629,0.88452,0.99387,0.85,0.85167,0.63345,0.99263,0.99127,0.96665,0.000614,0.000614,0.000614
72,403.825,0.79907,0.72133,0.89178,0.99751,0.85,0.85049,0.63837,1.00304,1.02718,0.965,0.0005942,0.0005942,0.0005942
